,objectid,DATE,DAILY_ENTRIES,STATION_LINENAME
149,1.0,11/26/2019,16455.0,ASTOR PL6
150,1.0,11/27/2019,16997.0,ASTOR PL6
151,1.0,11/28/2019,13843.0,ASTOR PL6
152,1.0,11/29/2019,4980.0,ASTOR PL6
153,1.0,11/30/2019,9372.0,ASTOR PL6
154,1.0,12/01/2019,8871.0,ASTOR PL6
155,1.0,12/02/2019,6665.0,ASTOR PL6
156,1.0,12/03/2019,14346.0,ASTOR PL6
157,1.0,12/04/2019,16505.0,ASTOR PL6
158,1.0,12/05/2019,16636.0,ASTOR PL6
159,1.0,12/06/2019,17032.0,ASTOR PL6
160,1.0,12/07/2019,18385.0,ASTOR PL6
161,1.0,12/08/2019,13506.0,ASTOR PL6
162,1.0,12/09/2019,9710.0,ASTOR PL6
163,1.0,12/10/2019,16801.0,ASTOR PL6
164,1.0,12/11/2019,17884.0,ASTOR PL6
165,1.0,12/12/2019,17518.0,ASTOR PL6
166,1.0,12/13/2019,18754.0,ASTOR PL6
167,1.0,12/14/2019,19037.0,ASTOR PL6
168,1.0,12/15/2019,14134.0,ASTOR PL6
169,1.0,12/16/2019,10299.0,ASTOR PL6
170,1.0,12/17/2019,16496.0,ASTOR PL6
171,1.0,12/18/2019,17130.0,ASTOR PL6
172,1.0,12/19/2019,17813.0,ASTOR PL6
173,1.0,12/20/2019,17280.0,ASTOR PL6
174,1.0,12/21/2019,16269.0,ASTOR PL6
175,1.0,12/22/2019,10401.0,ASTOR PL6
176,1.0,12/23/2019,8207.0,ASTOR PL6
177,1.0,12/24/2019,11601.0,ASTOR PL6
178,1.0,12/25/2019,8599.0,ASTOR PL6
179,1.0,12/26/2019,3720.0,ASTOR PL6
180,1.0,12/27/2019,9535.0,ASTOR PL6
181,2.0,06/30/2019,37335.0,CANAL STJNQRZ6W
182,2.0,07/01/2019,31961.0,CANAL STJNQRZ6W
183,2.0,07/02/2019,48790.0,CANAL STJNQRZ6W
184,2.0,07/03/2019,49335.0,CANAL STJNQRZ6W
185,2.0,07/04/2019,50223.0,CANAL STJNQRZ6W
186,2.0,07/05/2019,32391.0,CANAL STJNQRZ6W
187,2.0,07/06/2019,41350.0,CANAL STJNQRZ6W
188,2.0,07/07/2019,31633.0,CANAL STJNQRZ6W
189,2.0,07/08/2019,28055.0,CANAL STJNQRZ6W
190,2.0,07/09/2019,47032.0,CANAL STJNQRZ6W
191,2.0,07/10/2019,49409.0,CANAL STJNQRZ6W
192,2.0,07/11/2019,50925.0,CANAL STJNQRZ6W
193,2.0,07/12/2019,49167.0,CANAL STJNQRZ6W
194,2.0,07/13/2019,52910.0,CANAL STJNQRZ6W
195,2.0,07/14/2019,38925.0,CANAL STJNQRZ6W
196,2.0,07/15/2019,29480.0,CANAL STJNQRZ6W
197,2.0,07/16/2019,48645.0,CANAL STJNQRZ6W
198,2.0,07/17/2019,50193.0,CANAL STJNQRZ6W
199,2.0,07/18/2019,48690.0,CANAL STJNQRZ6W
